"HCQ240.Code.or.Value","HCQ240.Value.Description","HCQ240.Count","HCQ240.Cumulative","HCQ240.Skip.to.Item"
"1","True",31,31,NA
"2","False",0,31,NA
"7","Refused",0,31,NA
"9","Don't know",1,32,NA
".","Missing",84,116,NA
