"URXUMN.Code.or.Value","URXUMN.Value.Description","URXUMN.Count","URXUMN.Cumulative","URXUMN.Skip.to.Item"
"0.092 to 18.17","Range of Values",3061,3061,NA
".","Missing",218,3279,NA
