"DSQISFAT.Code.or.Value","DSQISFAT.Value.Description","DSQISFAT.Count","DSQISFAT.Cumulative","DSQISFAT.Skip.to.Item"
"0.0002 to 6","Range of Values",128,128,NA
".","Missing",9856,9984,NA
