"DR1TPOTA.Code.or.Value","DR1TPOTA.Value.Description","DR1TPOTA.Count","DR1TPOTA.Cumulative","DR1TPOTA.Skip.to.Item"
"29 to 14666","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
