"DS2TLYCO.Code.or.Value","DS2TLYCO.Value.Description","DS2TLYCO.Count","DS2TLYCO.Cumulative","DS2TLYCO.Skip.to.Item"
"55 to 50000","Range of Values",619,619,NA
".","Missing",9634,10253,NA
