"DS2TVK.Code.or.Value","DS2TVK.Value.Description","DS2TVK.Count","DS2TVK.Cumulative","DS2TVK.Skip.to.Item"
"1.7 to 300","Range of Values",1055,1055,NA
".","Missing",8707,9762,NA
