"DXXHEBMD.Code.or.Value","DXXHEBMD.Value.Description","DXXHEBMD.Count","DXXHEBMD.Cumulative","DXXHEBMD.Skip.to.Item"
"0.891 to 3.759","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
