"BIXS177K.Code.or.Value","BIXS177K.Value.Description","BIXS177K.Count","BIXS177K.Cumulative","BIXS177K.Skip.to.Item"
"136.29 to 893.86","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
