"PUQ110.Code.or.Value","PUQ110.Value.Description","PUQ110.Count","PUQ110.Cumulative","PUQ110.Skip.to.Item"
"1","Yes",260,260,NA
"2","No",6818,7078,NA
"7","Refused",1,7079,NA
"9","Don't know",117,7196,NA
".","Missing",625,7821,NA
