"SPXNFVC.Code.or.Value","SPXNFVC.Value.Description","SPXNFVC.Count","SPXNFVC.Cumulative","SPXNFVC.Skip.to.Item"
"592 to 7863","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
