"LB2ALCSI.Code.or.Value","LB2ALCSI.Value.Description","LB2ALCSI.Count","LB2ALCSI.Cumulative","LB2ALCSI.Skip.to.Item"
"0.009 to 0.963","Range of Values",545,545,NA
".","Missing",6,551,NA
