"PAQ640.Code.or.Value","PAQ640.Value.Description","PAQ640.Count","PAQ640.Cumulative","PAQ640.Skip.to.Item"
"1 to 7","Range of Values",2343,2343,""
"77","Refused",0,2343,"PAQ650"
"99","Don't know",1,2344,"PAQ650"
".","Missing",6763,9107,""
