"WBXA096.Code.or.Value","WBXA096.Value.Description","WBXA096.Count","WBXA096.Cumulative","WBXA096.Skip.to.Item"
"-309.3639 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
