"DXXL4TBS.Code.or.Value","DXXL4TBS.Value.Description","DXXL4TBS.Count","DXXL4TBS.Cumulative","DXXL4TBS.Skip.to.Item"
"0.702 to 1.775","Range of Values",3442,3442,NA
".","Missing",4278,7720,NA
