"DR1TB12A.Code.or.Value","DR1TB12A.Value.Description","DR1TB12A.Count","DR1TB12A.Cumulative","DR1TB12A.Skip.to.Item"
"0 to 38.86","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
