"LEALAPNC.Code.or.Value","LEALAPNC.Value.Description","LEALAPNC.Count","LEALAPNC.Cumulative","LEALAPNC.Skip.to.Item"
"1","Yes",43,43,NA
"2","No",231,274,NA
"8","Could not obtain",0,274,NA
".","Missing",2812,3086,NA
