"URXCOP.Code.or.Value","URXCOP.Value.Description","URXCOP.Count","URXCOP.Cumulative","URXCOP.Skip.to.Item"
"0.14 to 1126.3","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
