"RFXC068.Code.or.Value","RFXC068.Value.Description","RFXC068.Count","RFXC068.Cumulative","RFXC068.Skip.to.Item"
"-7.186 to 4.767","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
