"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"0.4 to 11.3","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
