"URDOP4LC.Code.or.Value","URDOP4LC.Value.Description","URDOP4LC.Count","URDOP4LC.Cumulative","URDOP4LC.Skip.to.Item"
"0","At or above the detection limit",2103,2103,NA
"1","Below lower detection limit",913,3016,NA
".","Missing",189,3205,NA
