"CIQP50.Code.or.Value","CIQP50.Value.Description","CIQP50.Count","CIQP50.Cumulative","CIQP50.Skip.to.Item"
"0 to 52","Range of Values",23,23,NA
"77","Refused",0,23,NA
"99","Don't know",3,26,NA
".","Missing",752,778,NA
