"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"12 to 35","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
