"URDGNSLC.Code.or.Value","URDGNSLC.Value.Description","URDGNSLC.Count","URDGNSLC.Cumulative","URDGNSLC.Skip.to.Item"
"0","At or above the detection limit",2506,2506,NA
"1","Below lower detection limit",22,2528,NA
".","Missing",110,2638,NA
