"URXPPB.Code.or.Value","URXPPB.Value.Description","URXPPB.Count","URXPPB.Cumulative","URXPPB.Skip.to.Item"
"0.14 to 7210","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
