"RFXC031.Code.or.Value","RFXC031.Value.Description","RFXC031.Count","RFXC031.Cumulative","RFXC031.Skip.to.Item"
"-8.215 to 5.379","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
