"VTD281B.Code.or.Value","VTD281B.Value.Description","VTD281B.Count","VTD281B.Cumulative","VTD281B.Skip.to.Item"
"1 to 46","Range of Values",81,81,NA
"0","Less than one hour",2,83,NA
"77","Refused",0,83,NA
"99","Don't know",0,83,NA
".","Missing",3089,3172,NA
