"DIQ172.Code.or.Value","DIQ172.Value.Description","DIQ172.Count","DIQ172.Cumulative","DIQ172.Skip.to.Item"
"1","Yes",1588,1588,""
"2","No",4510,6098,"DIQ180"
"7","Refused",1,6099,"DIQ180"
"9","Don't know",87,6186,"DIQ180"
".","Missing",3389,9575,""
