"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",2221,2221,""
"2","No",4655,6876,"BPQ057"
"7","Refused",0,6876,"BPQ057"
"9","Don't know",13,6889,"BPQ057"
".","Missing",0,6889,""
