"DXDTRA.Code.or.Value","DXDTRA.Value.Description","DXDTRA.Count","DXDTRA.Cumulative","DXDTRA.Skip.to.Item"
"277.02 to 991.42","Range of Values",5297,5297,NA
".","Missing",736,6033,NA
