"URDTCCLC.Code.or.Value","URDTCCLC.Value.Description","URDTCCLC.Count","URDTCCLC.Cumulative","URDTCCLC.Skip.to.Item"
"0","detectable result",867,867,NA
"1","below detectable limit",2166,3033,NA
".","Missing",119,3152,NA
