"WTSBA15.Code.or.Value","WTSBA15.Value.Description","WTSBA15.Count","WTSBA15.Cumulative","WTSBA15.Skip.to.Item"
"0 to 369757.95073","Range of Values",946,946,NA
".","Missing",65,1011,NA
