"WTMREP31.Code.or.Value","WTMREP31.Value.Description","WTMREP31.Count","WTMREP31.Cumulative","WTMREP31.Skip.to.Item"
"0 to 262963.60939","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
