"OSQ040cb.Code.or.Value","OSQ040cb.Value.Description","OSQ040cb.Count","OSQ040cb.Cumulative","OSQ040cb.Skip.to.Item"
"1","Under 50 years old, or",13,13,"OSQ025"
"2","50 years old or older?",6,19,""
"7","Refused",0,19,"OSQ025"
"9","Don't know",0,19,"OSQ025"
".","Missing",5916,5935,""
