"MCQ170m.Code.or.Value","MCQ170m.Value.Description","MCQ170m.Count","MCQ170m.Cumulative","MCQ170m.Skip.to.Item"
"1","Yes",432,432,NA
"2","No",149,581,NA
"7","Refused",0,581,NA
"9","Don't know",20,601,NA
".","Missing",9169,9770,NA
