"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"15 to 34","Range of Values",6257,6257,NA
".","Missing",487,6744,NA
