"RFXT011.Code.or.Value","RFXT011.Value.Description","RFXT011.Count","RFXT011.Cumulative","RFXT011.Skip.to.Item"
"80 to 88","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
