"MCQ300A.Code.or.Value","MCQ300A.Value.Description","MCQ300A.Count","MCQ300A.Cumulative","MCQ300A.Skip.to.Item"
"1","Yes",791,791,NA
"2","No",4974,5765,NA
"7","Refused",2,5767,NA
"9","Don't know",168,5935,NA
".","Missing",3731,9666,NA
