"DRQ370NQ.Code.or.Value","DRQ370NQ.Value.Description","DRQ370NQ.Count","DRQ370NQ.Cumulative","DRQ370NQ.Skip.to.Item"
"1 to 20","Range of Values",202,202,NA
".","Missing",9080,9282,NA
