"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",1882,1882,NA
"1","Below lower detection limit",374,2256,NA
".","Missing",93,2349,NA
