"DSQTPOTA.Code.or.Value","DSQTPOTA.Value.Description","DSQTPOTA.Count","DSQTPOTA.Cumulative","DSQTPOTA.Skip.to.Item"
"0.083 to 1005","Range of Values",972,972,NA
".","Missing",9203,10175,NA
