"LBCBHC.Code.or.Value","LBCBHC.Value.Description","LBCBHC.Count","LBCBHC.Cumulative","LBCBHC.Skip.to.Item"
"3.536 to 5401","Range of Values",251,251,NA
".","Missing",0,251,NA
