"AUDTYR17.Code.or.Value","AUDTYR17.Value.Description","AUDTYR17.Count","AUDTYR17.Cumulative","AUDTYR17.Skip.to.Item"
"0 to 1.78","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
