"WBXP063.Code.or.Value","WBXP063.Value.Description","WBXP063.Count","WBXP063.Cumulative","WBXP063.Skip.to.Item"
"-107.0371 to 176.7536","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
