"DXDSTBMC.Code.or.Value","DXDSTBMC.Value.Description","DXDSTBMC.Count","DXDSTBMC.Cumulative","DXDSTBMC.Skip.to.Item"
"410.14 to 4325.99","Range of Values",4445,4445,NA
".","Missing",1247,5692,NA
