"DSQIFDFE.Code.or.Value","DSQIFDFE.Value.Description","DSQIFDFE.Count","DSQIFDFE.Cumulative","DSQIFDFE.Skip.to.Item"
"3 to 20400","Range of Values",2658,2658,NA
".","Missing",5611,8269,NA
