"DXXWDA.Code.or.Value","DXXWDA.Value.Description","DXXWDA.Count","DXXWDA.Cumulative","DXXWDA.Skip.to.Item"
"1.03 to 1.33","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
