"DXXTRFAT.Code.or.Value","DXXTRFAT.Value.Description","DXXTRFAT.Count","DXXTRFAT.Cumulative","DXXTRFAT.Skip.to.Item"
"980.2 to 47828","Range of Values",4939,4939,NA
".","Missing",841,5780,NA
