"AUDTYR33.Code.or.Value","AUDTYR33.Value.Description","AUDTYR33.Count","AUDTYR33.Cumulative","AUDTYR33.Skip.to.Item"
"0 to 2.38","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
