"VIXKRDM.Code.or.Value","VIXKRDM.Value.Description","VIXKRDM.Count","VIXKRDM.Cumulative","VIXKRDM.Skip.to.Item"
"35.75 to 52.75","Range of Values",6429,6429,NA
"88","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
