"DSQTVD.Code.or.Value","DSQTVD.Value.Description","DSQTVD.Count","DSQTVD.Cumulative","DSQTVD.Skip.to.Item"
"0.004 to 1260","Range of Values",3120,3120,NA
".","Missing",7055,10175,NA
