"DXXLLA.Code.or.Value","DXXLLA.Value.Description","DXXLLA.Count","DXXLLA.Cumulative","DXXLLA.Skip.to.Item"
"174.52 to 546.3","Range of Values",4658,4658,NA
".","Missing",1034,5692,NA
