"FSD190.Code.or.Value","FSD190.Value.Description","FSD190.Count","FSD190.Cumulative","FSD190.Skip.to.Item"
"2 to 12","Range of Values",915,915,NA
"1","1 month or less",39,954,NA
"77","Refused",2,956,NA
"99","Don't know",4,960,NA
".","Missing",9162,10122,NA
