"SLQ220.Code.or.Value","SLQ220.Value.Description","SLQ220.Count","SLQ220.Cumulative","SLQ220.Skip.to.Item"
"1","Don't do this activity for other reasons",394,394,NA
"2","No difficulty",5441,5835,NA
"3","Yes, a little difficulty",546,6381,NA
"4","Yes, moderate difficulty",126,6507,NA
"5","Yes, extreme difficulty",38,6545,NA
"7","Refused",1,6546,NA
"9","Don't know",0,6546,NA
".","Missing",0,6546,NA
