"LBC177LA.Code.or.Value","LBC177LA.Value.Description","LBC177LA.Count","LBC177LA.Cumulative","LBC177LA.Skip.to.Item"
"0.15 to 12.5","Range of Values",247,247,NA
".","Missing",0,247,NA
