"SSPFNAL.Code.or.Value","SSPFNAL.Value.Description","SSPFNAL.Count","SSPFNAL.Cumulative","SSPFNAL.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2327,2328,NA
".","Missing",0,2328,NA
