"AUXLR114.Code.or.Value","AUXLR114.Value.Description","AUXLR114.Count","AUXLR114.Cumulative","AUXLR114.Skip.to.Item"
"-37 to 53","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
