"CBD110.Code.or.Value","CBD110.Value.Description","CBD110.Count","CBD110.Cumulative","CBD110.Skip.to.Item"
"0 to 2142","Range of Values",9610,9610,NA
"777777","Refused",9,9619,NA
"999999","Don't know",86,9705,NA
".","Missing",51,9756,NA
