"CIQG14.Code.or.Value","CIQG14.Value.Description","CIQG14.Count","CIQG14.Cumulative","CIQG14.Skip.to.Item"
"1","Yes",44,44,NA
"2","No",47,91,NA
"7","Refused",0,91,NA
"9","Don't know",0,91,NA
".","Missing",687,778,NA
