"LBXVCT.Code.or.Value","LBXVCT.Value.Description","LBXVCT.Count","LBXVCT.Cumulative","LBXVCT.Skip.to.Item"
"0.004 to 0.007","Range of Values",2845,2845,NA
".","Missing",327,3172,NA
