"LBXMMASI.Code.or.Value","LBXMMASI.Value.Description","LBXMMASI.Count","LBXMMASI.Cumulative","LBXMMASI.Skip.to.Item"
"32.6 to 3020","Range of Values",4880,4880,NA
".","Missing",439,5319,NA
