"DSQTKCAL.Code.or.Value","DSQTKCAL.Value.Description","DSQTKCAL.Count","DSQTKCAL.Cumulative","DSQTKCAL.Skip.to.Item"
"0.1 to 715.1","Range of Values",2194,2194,NA
".","Missing",7981,10175,NA
