"TYXP161.Code.or.Value","TYXP161.Value.Description","TYXP161.Count","TYXP161.Cumulative","TYXP161.Skip.to.Item"
"-293 to 190","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
