"RFXT142.Code.or.Value","RFXT142.Value.Description","RFXT142.Count","RFXT142.Cumulative","RFXT142.Skip.to.Item"
"1238 to 1247","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
