"DXXRLBMC.Code.or.Value","DXXRLBMC.Value.Description","DXXRLBMC.Count","DXXRLBMC.Cumulative","DXXRLBMC.Skip.to.Item"
"85.96 to 882.07","Range of Values",4861,4861,NA
".","Missing",919,5780,NA
